Epoch   1/100 | Loss: 210.2494 | Early Stop Count: 0/10
Epoch   5/100 | Loss: 5.4364 | Early Stop Count: 0/10
Epoch  10/100 | Loss: 3.5458 | Early Stop Count: 0/10
Epoch  15/100 | Loss: 3.6478 | Early Stop Count: 5/10
Epoch  20/100 | Loss: 3.5680 | Early Stop Count: 4/10
Epoch  25/100 | Loss: 3.3847 | Early Stop Count: 2/10
Epoch  30/100 | Loss: 3.2472 | Early Stop Count: 0/10
Epoch  35/100 | Loss: 3.1049 | Early Stop Count: 0/10
Epoch  40/100 | Loss: 2.9197 | Early Stop Count: 0/10
Epoch  45/100 | Loss: 3.2419 | Early Stop Count: 5/10
Epoch  50/100 | Loss: 2.8280 | Early Stop Count: 0/10
Epoch  55/100 | Loss: 2.8735 | Early Stop Count: 5/10
Epoch  60/100 | Loss: 3.0089 | Early Stop Count: 2/10
Epoch  65/100 | Loss: 2.7552 | Early Stop Count: 1/10
Epoch  70/100 | Loss: 2.7733 | Early Stop Count: 6/10
Epoch  75/100 | Loss: 2.9355 | Early Stop Count: 1/10
Epoch  80/100 | Loss: 2.6697 | Early Stop Count: 1/10
Epoch  85/100 | Loss: 2.5841 | Early Stop Count: 3/10
Epoch  90/100 | Loss: 2.3201 | Early Stop Count: 0/10
Epoch  95/100 | Loss: 2.4620 | Early Stop Count: 2/10
Epoch 100/100 | Loss: 2.4929 | Early Stop Count: 7/10
