Epoch   1/100 | Loss: 208.4281 | Early Stop Count: 0/10
Epoch   5/100 | Loss: 32.9508 | Early Stop Count: 0/10
Epoch  10/100 | Loss: 32.5677 | Early Stop Count: 1/10
Epoch  15/100 | Loss: 31.7773 | Early Stop Count: 0/10
Epoch  20/100 | Loss: 31.6860 | Early Stop Count: 2/10
Epoch  25/100 | Loss: 31.7636 | Early Stop Count: 2/10
Epoch  30/100 | Loss: 31.8679 | Early Stop Count: 7/10
Epoch  35/100 | Loss: 31.8909 | Early Stop Count: 3/10
Epoch  40/100 | Loss: 31.5248 | Early Stop Count: 2/10
Epoch  45/100 | Loss: 31.0031 | Early Stop Count: 0/10
Epoch  50/100 | Loss: 31.2760 | Early Stop Count: 5/10
Epoch  55/100 | Loss: 30.9484 | Early Stop Count: 0/10
Epoch  60/100 | Loss: 30.9968 | Early Stop Count: 1/10
Epoch  65/100 | Loss: 30.5647 | Early Stop Count: 0/10
Epoch  70/100 | Loss: 30.7955 | Early Stop Count: 5/10
Epoch  75/100 | Loss: 30.8952 | Early Stop Count: 2/10
Epoch  80/100 | Loss: 30.0907 | Early Stop Count: 0/10
Epoch  85/100 | Loss: 30.2522 | Early Stop Count: 5/10
Epoch  90/100 | Loss: 30.5686 | Early Stop Count: 10/10
[INFO] Converged! Early stopping triggered at epoch 90.
