Epoch   1/100 | Loss: 265.8890 | Early Stop Count: 0/10
Epoch   5/100 | Loss: 25.1589 | Early Stop Count: 0/10
Epoch  10/100 | Loss: 17.4006 | Early Stop Count: 0/10
Epoch  15/100 | Loss: 16.7735 | Early Stop Count: 2/10
Epoch  20/100 | Loss: 16.1961 | Early Stop Count: 0/10
Epoch  25/100 | Loss: 16.4081 | Early Stop Count: 1/10
Epoch  30/100 | Loss: 15.6978 | Early Stop Count: 0/10
Epoch  35/100 | Loss: 15.8487 | Early Stop Count: 5/10
Epoch  40/100 | Loss: 15.6588 | Early Stop Count: 3/10
Epoch  45/100 | Loss: 15.9532 | Early Stop Count: 8/10
Epoch  50/100 | Loss: 15.4013 | Early Stop Count: 0/10
Epoch  55/100 | Loss: 15.4352 | Early Stop Count: 5/10
Epoch  60/100 | Loss: 15.5436 | Early Stop Count: 4/10
Epoch  65/100 | Loss: 15.2636 | Early Stop Count: 0/10
Epoch  70/100 | Loss: 15.2487 | Early Stop Count: 0/10
Epoch  75/100 | Loss: 15.3910 | Early Stop Count: 5/10
Epoch  80/100 | Loss: 15.3163 | Early Stop Count: 3/10
Epoch  85/100 | Loss: 15.1202 | Early Stop Count: 0/10
Epoch  90/100 | Loss: 15.2849 | Early Stop Count: 3/10
Epoch  95/100 | Loss: 15.3677 | Early Stop Count: 8/10
[INFO] Converged! Early stopping triggered at epoch 97.
