Epoch   1/100 | Loss: 619.7399 | Early Stop Count: 0/10
Epoch   5/100 | Loss: 159.2867 | Early Stop Count: 0/10
Epoch  10/100 | Loss: 58.2665 | Early Stop Count: 0/10
Epoch  15/100 | Loss: 40.7522 | Early Stop Count: 1/10
Epoch  20/100 | Loss: 37.1372 | Early Stop Count: 0/10
Epoch  25/100 | Loss: 33.5847 | Early Stop Count: 1/10
Epoch  30/100 | Loss: 32.4914 | Early Stop Count: 1/10
Epoch  35/100 | Loss: 31.0501 | Early Stop Count: 2/10
Epoch  40/100 | Loss: 30.8168 | Early Stop Count: 1/10
Epoch  45/100 | Loss: 28.0328 | Early Stop Count: 0/10
Epoch  50/100 | Loss: 27.7291 | Early Stop Count: 0/10
Epoch  55/100 | Loss: 28.8589 | Early Stop Count: 1/10
Epoch  60/100 | Loss: 29.1049 | Early Stop Count: 1/10
Epoch  65/100 | Loss: 26.8296 | Early Stop Count: 2/10
Epoch  70/100 | Loss: 26.4627 | Early Stop Count: 4/10
Epoch  75/100 | Loss: 28.6414 | Early Stop Count: 4/10
Epoch  80/100 | Loss: 25.2959 | Early Stop Count: 0/10
Epoch  85/100 | Loss: 26.8784 | Early Stop Count: 2/10
Epoch  90/100 | Loss: 24.9801 | Early Stop Count: 7/10
Epoch  95/100 | Loss: 25.9240 | Early Stop Count: 3/10
Epoch 100/100 | Loss: 25.6384 | Early Stop Count: 8/10
